Name,Power,GND,Control,Arduino,Port,ADC,Ext. Interupt,Serial,Serial Com,Timer,PTC,Misc
Right,,,,,,,,,,,,
SCL,,,,D21,PA23,,EXTINT7,SCL,SER3:1/5:1*,TC4:1/TCC0:5,,USB/SOF 1KhZ
SDA,,,,D20,PA22,,EXTINT6,SDA,SER3:0/5:0*,TC4:0/TCC0:4,PCT:X10,
AREF,,,REFA,,PA03,AIN1,EXTINT3,,,,PTC:Y1,
GND,,GND,,,,,,,,,,
D13,,,,D13 ~,PA17,,EXTINT1 ,SCK,SER1:1/3:1*,TCC2:1/0:7,PTC:X5,
D12,,,,D12 ~,PA19,,EXTINT3,MISO,SER1:3/3:3,TC3:1/TCC0:3PTC:X7,PTC:X7,I2S/SD[0]
D11,,,,D11 ~,PA16,,EXTINT0,MOSI,SER1:0/3:0*,TCC2:0/0:6,PTC:X4,
D10,,,,D10 ~,PA18,,EXTINT2,SS,SER1:2/3:2,TC3:0/TCC0:2,,
D9,,,,D9 ~,PA07,AIN7,EXTINT7,,SER0:3 ,TCC1:1,PTC:Y5,I2S/SD[0]
D8,,,,D8 ~,PA06,AIN6,EXTINT6,,SER0:2 ,TCC1:0,PTC:Y4,
,,,,,,,,,,,,
D7,,,,D7,PA21,,EXINIT5,,SER5:3/3:3,TC7:1/TCC0:7,PTC:X9,I2S/FS[0]
D6,,,,D6 ~,PA20,,EXTINT4,,SER5:2/3:2,TC7:0/TCC0:6,PTC:X8,I2S/SCK[0]
D5,,,,D5 ~,PA15,,EXTINT15,,SER2:3/4:3,TC3:1/TCC0:5,,XOUT
D4,,,,D4 ~,PA08,AIN16,NMI,,SER0:0/2:0*,TCC0:0/1:2,PTC:X0,I2S/SD[1]
D3,,,,D3 ~,PA09,AIN17,EXTINT9,,SER0:1/2:1*,TCC0:1/1:3,PTC:X1,I2S/MCK[0]
D2,,,,D2,PA14,,EXTINT14,,SER2:2/4:2*,TC3:0/TCC0:4,,XIN
TX/D1,,,,D1,PA10,AIN18,EXTINT10,TX0,SER0:2/2:2,TCC1:0/0:2,PTC:X2,I2S/SCK[0]
RX/D0,,,,D0,PA11,AIN19,EXTINT11,RXI,SER0:3/2:3,TCC1:1/0:3,PTC:X3,I2S/FS[0]
,,,,,,,,,,,,
RX LED,,,,PIN_LED_RXL,PB03,AIN11,EXTINT3,,SER5:1,TC6:1,PTC:Y9,
TX LED,,,,PIN_LED_TXL,PA27,,EXTINT15,,,,,
13 LED,,,,D13 ~,PA17,,EXTINT1 ,SCK,SER1:1/3:1*,TCC2:1/0:7,PTC:X5,
,,,,,,,,,,,,
Left,,,,,,,,,,,,
_,,,,,,,,,,,,
IOREF,3.3V,,,,,,,,,,,
/RESET,,,RESET,,,,,,,,,
3.3V,3.3V,,,,,,,,,,,
VUSB,5V,,,,,,,,,,,
GND,,GND,,,,,,,,,,
